sku,upc,prod_title,category,msrp_price,customer_price,qty_in_stock,description,brand,specification,images,pdfs
12SD004LUS,,Lenovo ThinkCentre neo 50a 24 G5 i7 16GB 512GB | All-in-One PC,Hardware,$966.53,$966.53,1,Lenovo ThinkCentre neo 50a 24 G5 i7 16GB 512GB | All-in-One PC,N/A,,https://a5it.com/product/lenovo-ts-neo-50a-24-g5-i7-16g-11p/12SD004LUS,
12SB003SUS,,Lenovo ThinkCentre neo 50a 27 G5 i7 16GB 512GB | All-in-One PC,Hardware,$998.43,$998.43,1,Lenovo ThinkCentre neo 50a 27 G5 i7 16GB 512GB | All-in-One PC,N/A,,https://a5it.com/product/lenovo-ts-neo-50a-27-g5-i7-16g-11p/12SB003SUS,
82W6000AUS,,"Lenovo 14e G3 Chromebook, Intel N100, 4 GB, 32 GB | Enterprise Touch",Hardware,$460.68,$460.68,1,"Lenovo 14e G3 Chromebook, Intel N100, 4 GB, 32 GB | Enterprise Touch",N/A,,https://a5it.com/product/lenovo-ts-14e-g3-n100-4g-32g-crm/82W6000AUS,
GS105E-200NAS,,Netgear ProSAFE Plus GS105E-200NAS 5-Port Gigabit Switch | Managed,Hardware,$44.99,$44.99,1,Netgear ProSAFE Plus GS105E-200NAS 5-Port Gigabit Switch | Managed,N/A,,https://a5it.com/product/netgear-prosafe-plus-5-port-gig-switch/GS105E-200NAS,
GS324-200NAS,,NETGEAR GS324-200NAS 24-Port Gigabit Unmanaged Switch | Desktop,Hardware,$109.99,$109.99,1,NETGEAR GS324-200NAS 24-Port Gigabit Unmanaged Switch | Desktop,N/A,,https://a5it.com/product/netgear-24pt-unmanaged-switch/GS324-200NAS,
GS308EP-100NAS,,"NETGEAR GS308EP-100NAS 8-Port Gigabit PoE+ Smart Switch | SMB, Managed",Hardware,$99.99,$99.99,1,"NETGEAR GS308EP-100NAS 8-Port Gigabit PoE+ Smart Switch | SMB, Managed",N/A,,https://a5it.com/product/netgear-8-port-gb-poe-smart-plus/GS308EP-100NAS,
ZHP-00001,,Microsoft Surface Laptop 7 15in 16GB 256GB Platinum | Business Laptop,Hardware,"$1,515.91","$1,515.91",1,Microsoft Surface Laptop 7 15in 16GB 256GB Platinum | Business Laptop,N/A,,https://a5it.com/product/microsoft-lpt7-15-eli-16-256-platinum/ZHP-00001,
21MV002VUS,,"Lenovo ThinkBook 14 G7 ARP Ryzen 5 7535HS, 16 GB, 512 GB SSD | Business Laptop",Hardware,$827.60,$827.60,1,"Lenovo ThinkBook 14 G7 ARP Ryzen 5 7535HS, 16 GB, 512 GB SSD | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-tb-14-r5-7535hs-16-512-11p/21MV002VUS,
GS116PP-100NAS,,"Netgear GS116PP-100NAS 16-Port PoE+ Gigabit Unmanaged Switch | Gigabit, PoE",Hardware,$249.99,$249.99,1,"Netgear GS116PP-100NAS 16-Port PoE+ Gigabit Unmanaged Switch | Gigabit, PoE",N/A,,https://a5it.com/product/netgear-8port-gigb-ethernet-poe-plu-sw/GS108LP-100NAS,
82W4000AUS,,"Lenovo 500e G4 Chromebook, Intel N100, 4 GB, 32 GB | 12.2"" Touch",Hardware,$441.53,$441.53,1,"Lenovo 500e G4 Chromebook, Intel N100, 4 GB, 32 GB | 12.2"" Touch",N/A,,https://a5it.com/product/microsoft-lpt7-13-eli-16-512-platinum/ZGZ-00001,
GS116PP-100NAS,,"Netgear GS116PP-100NAS 16-Port PoE+ Gigabit Unmanaged Switch | Gigabit, PoE",Hardware,$249.99,$249.99,1,"Netgear GS116PP-100NAS 16-Port PoE+ Gigabit Unmanaged Switch | Gigabit, PoE",N/A,,https://a5it.com/product/netgear-16port-poe-plus-gigabit-unmngd/GS116PP-100NAS,
82W4000AUS,,"Lenovo 500e G4 Chromebook, Intel N100, 4 GB, 32 GB | 12.2"" Touch",Hardware,$441.53,$441.53,1,"Lenovo 500e G4 Chromebook, Intel N100, 4 GB, 32 GB | 12.2"" Touch",N/A,,https://a5it.com/product/lenovo-ts-500e-g4-n100-4g-32g-crm/82W4000AUS,
CM3000-100NAS,,"Netgear CM3000-100NAS DOCSIS 3.1 2.5G Cable Modem | High Split, 1 Port",Hardware,$328.81,$328.81,1,"Netgear CM3000-100NAS DOCSIS 3.1 2.5G Cable Modem | High Split, 1 Port",N/A,,https://a5it.com/product/netgear-1pt-docsis-3-1-high-split-2-5g/CM3000-100NAS,
GSM4230P-100NAS,,"NETGEAR M4250 GSM4230P-100NAS 26G4F PoE+ Managed Switch | AV, Enterprise",Hardware,"$1,319.99","$1,319.99",1,"NETGEAR M4250 GSM4230P-100NAS 26G4F PoE+ Managed Switch | AV, Enterprise",N/A,,https://a5it.com/product/netgear-netgear-5-port-poe-gigabit-unm/GS305P-300NAS,
ZGX-00001,,Microsoft Surface Laptop 7 13.8-inch Platinum | Copilot+ PC,Hardware,"$1,376.69","$1,376.69",1,Microsoft Surface Laptop 7 13.8-inch Platinum | Copilot+ PC,N/A,,https://a5it.com/product/microsoft-lpt7-13-pls-16-512-platinum/ZGX-00001,
21MV0009US,,"Lenovo ThinkBook 14 G7 AMD Ryzen 5 7535HS, 16 GB, 512 GB | Business Laptop",Hardware,$791.95,$791.95,1,"Lenovo ThinkBook 14 G7 AMD Ryzen 5 7535HS, 16 GB, 512 GB | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-tb-14-r5-7535hs-16-512-11p/21MV0009US,
